sample_idx,raw,ch1_volts
0,95,-2.062500
1,95,-2.062500
2,92,-2.250000
3,97,-1.937500
4,88,-2.500000
5,92,-2.250000
6,84,-2.750000
7,88,-2.500000
8,81,-2.937500
9,84,-2.750000
10,76,-3.250000
11,81,-2.937500
12,73,-3.437500
13,76,-3.250000
14,69,-3.687500
15,73,-3.437500
16,67,-3.812500
17,69,-3.687500
18,65,-3.937500
19,67,-3.812500
20,63,-4.062500
21,65,-3.937500
22,61,-4.187500
23,63,-4.062500
24,61,-4.187500
25,61,-4.187500
26,60,-4.250000
27,61,-4.187500
28,59,-4.312500
29,61,-4.187500
30,60,-4.250000
31,62,-4.125000
32,62,-4.125000
33,62,-4.125000
34,62,-4.125000
35,65,-3.937500
36,65,-3.937500
37,67,-3.812500
38,67,-3.812500
39,69,-3.687500
40,69,-3.687500
41,73,-3.437500
42,73,-3.437500
43,76,-3.250000
44,76,-3.250000
45,79,-3.062500
46,79,-3.062500
47,84,-2.750000
48,84,-2.750000
49,87,-2.562500
50,87,-2.562500
51,92,-2.250000
52,92,-2.250000
53,97,-1.937500
54,97,-1.937500
55,100,-1.750000
56,100,-1.750000
57,105,-1.437500
58,105,-1.437500
59,108,-1.250000
60,108,-1.250000
61,113,-0.937500
62,113,-0.937500
63,115,-0.812500
64,115,-0.812500
65,119,-0.562500
66,119,-0.562500
67,122,-0.375000
68,122,-0.375000
69,123,-0.312500
70,123,-0.312500
71,126,-0.125000
72,126,-0.125000
73,128,0.000000
74,127,-0.062500
75,129,0.062500
76,128,0.000000
77,129,0.062500
78,128,0.000000
79,128,0.000000
80,126,-0.125000
81,129,0.062500
82,126,-0.125000
83,127,-0.062500
84,123,-0.312500
85,126,-0.125000
86,122,-0.375000
87,123,-0.312500
88,119,-0.562500
89,122,-0.375000
90,116,-0.750000
91,119,-0.562500
92,113,-0.937500
93,116,-0.750000
94,109,-1.187500
95,113,-0.937500
96,105,-1.437500
97,109,-1.187500
98,101,-1.687500
99,105,-1.437500
100,97,-1.937500
101,101,-1.687500
102,93,-2.187500
103,97,-1.937500
104,89,-2.437500
105,93,-2.187500
106,84,-2.750000
107,89,-2.437500
108,79,-3.062500
109,84,-2.750000
110,77,-3.187500
111,79,-3.062500
112,73,-3.437500
113,77,-3.187500
114,70,-3.625000
115,73,-3.437500
116,67,-3.812500
117,70,-3.625000
118,65,-3.937500
119,67,-3.812500
120,62,-4.125000
121,65,-3.937500
122,61,-4.187500
123,62,-4.125000
124,61,-4.187500
125,62,-4.125000
126,60,-4.250000
127,61,-4.187500
128,60,-4.250000
129,61,-4.187500
130,60,-4.250000
131,61,-4.187500
132,61,-4.187500
133,63,-4.062500
134,62,-4.125000
135,65,-3.937500
136,64,-4.000000
137,66,-3.875000
138,66,-3.875000
139,69,-3.687500
140,69,-3.687500
141,73,-3.437500
142,73,-3.437500
143,76,-3.250000
144,76,-3.250000
145,80,-3.000000
146,80,-3.000000
147,83,-2.812500
148,83,-2.812500
149,87,-2.562500
150,87,-2.562500
151,92,-2.250000
152,92,-2.250000
153,97,-1.937500
154,97,-1.937500
155,101,-1.687500
156,101,-1.687500
157,104,-1.500000
158,104,-1.500000
159,109,-1.187500
160,109,-1.187500
161,113,-0.937500
162,113,-0.937500
163,115,-0.812500
164,115,-0.812500
165,119,-0.562500
166,119,-0.562500
167,121,-0.437500
168,121,-0.437500
169,124,-0.250000
170,124,-0.250000
171,125,-0.187500
172,125,-0.187500
173,127,-0.062500
174,127,-0.062500
175,129,0.062500
176,128,0.000000
177,129,0.062500
178,128,0.000000
179,129,0.062500
180,127,-0.062500
181,128,0.000000
182,126,-0.125000
183,127,-0.062500
184,124,-0.250000
185,126,-0.125000
186,122,-0.375000
187,124,-0.250000
188,119,-0.562500
189,122,-0.375000
190,116,-0.750000
191,119,-0.562500
192,113,-0.937500
193,116,-0.750000
194,109,-1.187500
