sample_idx,raw_ch1,ch1_volts,raw_ch2,ch2_volts
0,93,0.177680,93,0.217695
1,93,0.177680,93,0.217695
2,93,0.177680,93,0.217695
3,93,0.177680,93,0.217695
4,93,0.177680,93,0.217695
5,93,0.177680,94,0.280195
6,93,0.177680,93,0.217695
7,93,0.177680,94,0.280195
8,93,0.177680,93,0.217695
9,93,0.177680,94,0.280195
10,93,0.177680,93,0.217695
11,93,0.177680,93,0.217695
12,93,0.177680,93,0.217695
13,93,0.177680,93,0.217695
14,93,0.177680,93,0.217695
15,93,0.177680,93,0.217695
16,93,0.177680,94,0.280195
17,93,0.177680,93,0.217695
18,93,0.177680,93,0.217695
19,93,0.177680,93,0.217695
20,93,0.177680,93,0.217695
21,93,0.177680,93,0.217695
22,93,0.177680,93,0.217695
23,93,0.177680,93,0.217695
24,93,0.177680,93,0.217695
25,93,0.177680,94,0.280195
26,93,0.177680,93,0.217695
27,93,0.177680,93,0.217695
28,93,0.177680,93,0.217695
29,93,0.177680,93,0.217695
30,93,0.177680,94,0.280195
31,93,0.177680,94,0.280195
32,93,0.177680,93,0.217695
33,93,0.177680,93,0.217695
34,93,0.177680,93,0.217695
35,93,0.177680,94,0.280195
36,93,0.177680,94,0.280195
37,92,0.115180,93,0.217695
38,93,0.177680,93,0.217695
39,92,0.115180,93,0.217695
40,93,0.177680,94,0.280195
41,93,0.177680,94,0.280195
42,93,0.177680,93,0.217695
43,93,0.177680,93,0.217695
44,93,0.177680,93,0.217695
45,93,0.177680,93,0.217695
46,93,0.177680,94,0.280195
47,92,0.115180,93,0.217695
48,93,0.177680,93,0.217695
49,93,0.177680,93,0.217695
50,93,0.177680,94,0.280195
51,93,0.177680,93,0.217695
52,93,0.177680,93,0.217695
53,93,0.177680,93,0.217695
54,93,0.177680,93,0.217695
55,93,0.177680,93,0.217695
56,93,0.177680,93,0.217695
57,92,0.115180,93,0.217695
58,93,0.177680,93,0.217695
59,93,0.177680,93,0.217695
60,93,0.177680,93,0.217695
61,93,0.177680,94,0.280195
62,93,0.177680,93,0.217695
63,93,0.177680,93,0.217695
64,93,0.177680,93,0.217695
65,92,0.115180,93,0.217695
66,93,0.177680,93,0.217695
67,93,0.177680,93,0.217695
68,93,0.177680,93,0.217695
69,93,0.177680,93,0.217695
70,93,0.177680,93,0.217695
71,93,0.177680,93,0.217695
72,93,0.177680,93,0.217695
73,93,0.177680,93,0.217695
74,93,0.177680,93,0.217695
75,93,0.177680,94,0.280195
76,93,0.177680,94,0.280195
77,93,0.177680,93,0.217695
78,92,0.115180,93,0.217695
79,93,0.177680,93,0.217695
80,93,0.177680,93,0.217695
81,93,0.177680,94,0.280195
82,93,0.177680,93,0.217695
83,93,0.177680,93,0.217695
84,93,0.177680,93,0.217695
85,93,0.177680,93,0.217695
86,93,0.177680,93,0.217695
87,93,0.177680,93,0.217695
88,93,0.177680,93,0.217695
89,93,0.177680,93,0.217695
90,93,0.177680,93,0.217695
91,93,0.177680,94,0.280195
92,93,0.177680,94,0.280195
93,93,0.177680,93,0.217695
94,93,0.177680,93,0.217695
95,93,0.177680,93,0.217695
96,92,0.115180,94,0.280195
97,93,0.177680,93,0.217695
98,93,0.177680,93,0.217695
99,93,0.177680,93,0.217695
100,93,0.177680,93,0.217695
101,93,0.177680,93,0.217695
102,93,0.177680,93,0.217695
103,93,0.177680,93,0.217695
104,93,0.177680,93,0.217695
105,93,0.177680,93,0.217695
106,93,0.177680,93,0.217695
107,93,0.177680,93,0.217695
108,93,0.177680,94,0.280195
109,93,0.177680,94,0.280195
110,93,0.177680,93,0.217695
111,93,0.177680,93,0.217695
112,93,0.177680,93,0.217695
113,93,0.177680,93,0.217695
114,93,0.177680,93,0.217695
115,93,0.177680,93,0.217695
116,93,0.177680,93,0.217695
117,92,0.115180,93,0.217695
118,93,0.177680,93,0.217695
119,93,0.177680,93,0.217695
120,93,0.177680,93,0.217695
121,93,0.177680,93,0.217695
122,93,0.177680,93,0.217695
123,93,0.177680,93,0.217695
124,93,0.177680,93,0.217695
125,93,0.177680,93,0.217695
126,93,0.177680,93,0.217695
127,92,0.115180,93,0.217695
128,93,0.177680,94,0.280195
129,93,0.177680,94,0.280195
130,93,0.177680,93,0.217695
131,93,0.177680,93,0.217695
132,92,0.115180,93,0.217695
133,93,0.177680,93,0.217695
134,93,0.177680,93,0.217695
135,93,0.177680,93,0.217695
136,93,0.177680,93,0.217695
137,93,0.177680,94,0.280195
138,93,0.177680,94,0.280195
139,93,0.177680,93,0.217695
140,93,0.177680,93,0.217695
141,93,0.177680,93,0.217695
142,93,0.177680,93,0.217695
143,93,0.177680,93,0.217695
144,93,0.177680,93,0.217695
145,93,0.177680,93,0.217695
146,93,0.177680,93,0.217695
147,93,0.177680,93,0.217695
148,93,0.177680,93,0.217695
149,93,0.177680,93,0.217695
150,93,0.177680,93,0.217695
151,93,0.177680,93,0.217695
152,93,0.177680,93,0.217695
153,93,0.177680,93,0.217695
154,93,0.177680,93,0.217695
155,93,0.177680,93,0.217695
156,93,0.177680,93,0.217695
157,93,0.177680,93,0.217695
158,93,0.177680,93,0.217695
159,93,0.177680,93,0.217695
160,93,0.177680,93,0.217695
161,93,0.177680,93,0.217695
162,93,0.177680,94,0.280195
163,93,0.177680,93,0.217695
164,93,0.177680,93,0.217695
165,93,0.177680,93,0.217695
166,93,0.177680,94,0.280195
167,93,0.177680,93,0.217695
168,93,0.177680,94,0.280195
169,93,0.177680,94,0.280195
170,92,0.115180,93,0.217695
171,92,0.115180,94,0.280195
172,93,0.177680,94,0.280195
173,93,0.177680,93,0.217695
174,93,0.177680,94,0.280195
175,93,0.177680,94,0.280195
176,93,0.177680,93,0.217695
